Date,Open,High,Low,Close,Volume,Currency,Name,Country
2020-01-01,128.75,128.9,126.85,127.45,2574894,INR,ONGC,India
2020-01-02,127.65,128.65,127.1,128.05,4759843,INR,ONGC,India
2020-01-03,131.0,133.4,128.05,128.45,31381588,INR,ONGC,India
2020-01-06,129.7,129.8,125.1,126.25,14611204,INR,ONGC,India
2020-01-07,125.6,127.7,125.4,125.75,7193304,INR,ONGC,India
2020-01-08,125.0,125.45,123.2,123.45,6236192,INR,ONGC,India
2020-01-09,124.95,125.1,122.8,123.7,10135017,INR,ONGC,India
2020-01-10,124.45,125.2,123.7,124.15,6550218,INR,ONGC,India
2020-01-13,124.25,125.7,124.25,125.45,5737187,INR,ONGC,India
2020-01-14,125.45,125.65,123.8,125.05,12432511,INR,ONGC,India
2020-01-15,125.05,125.5,124.25,124.65,5714614,INR,ONGC,India
2020-01-16,125.0,125.2,124.05,124.5,7322878,INR,ONGC,India
2020-01-17,124.55,125.55,124.0,125.4,8561603,INR,ONGC,India
2020-01-20,126.0,126.75,120.0,122.9,16106541,INR,ONGC,India
2020-01-21,123.05,124.5,122.4,122.75,6497799,INR,ONGC,India
2020-01-22,122.0,122.0,116.0,116.4,23639592,INR,ONGC,India
2020-01-23,117.25,118.95,116.4,117.8,21106000,INR,ONGC,India
2020-01-24,118.0,119.8,117.3,118.35,11172364,INR,ONGC,India
2020-01-27,118.35,118.5,116.8,117.25,12078165,INR,ONGC,India
2020-01-28,117.55,117.7,115.6,116.6,11611352,INR,ONGC,India
2020-01-29,117.35,118.15,116.45,117.65,15562740,INR,ONGC,India
2020-01-30,117.55,117.55,115.0,115.6,21142714,INR,ONGC,India
2020-01-31,115.8,116.0,106.75,108.95,83360144,INR,ONGC,India
2020-02-01,109.0,109.35,102.8,104.35,31282518,INR,ONGC,India
2020-02-03,104.35,104.95,101.55,103.45,18445536,INR,ONGC,India
2020-02-04,104.1,106.9,103.8,106.15,16896688,INR,ONGC,India
2020-02-05,106.4,107.4,105.1,106.8,11348275,INR,ONGC,India
2020-02-06,106.8,107.8,106.3,107.25,10750236,INR,ONGC,India
2020-02-07,107.3,109.75,106.55,109.25,21415596,INR,ONGC,India
2020-02-10,109.15,109.15,105.75,106.2,32081048,INR,ONGC,India
2020-02-11,107.15,107.65,106.3,106.8,20946852,INR,ONGC,India
2020-02-12,107.0,107.8,106.5,106.7,13053367,INR,ONGC,India
2020-02-13,107.0,108.2,104.25,105.35,17702072,INR,ONGC,India
2020-02-14,105.55,106.3,103.0,103.3,26644684,INR,ONGC,India
2020-02-17,101.5,102.9,98.8,99.95,36666416,INR,ONGC,India
2020-02-18,99.95,100.25,96.55,99.3,35575368,INR,ONGC,India
2020-02-19,100.3,102.2,98.8,101.7,21806184,INR,ONGC,India
2020-02-20,102.0,104.1,101.7,102.8,28378024,INR,ONGC,India
2020-02-24,102.5,102.5,97.2,98.05,20167768,INR,ONGC,India
2020-02-25,98.7,100.25,97.25,97.55,18255196,INR,ONGC,India
2020-02-26,97.4,98.5,95.5,95.8,16192058,INR,ONGC,India
2020-02-27,95.7,96.2,92.05,93.35,29616674,INR,ONGC,India
2020-02-28,90.3,92.7,89.5,91.95,30416954,INR,ONGC,India
2020-03-02,94.0,95.0,88.25,89.1,24442896,INR,ONGC,India
2020-03-03,90.9,94.0,89.65,93.35,24098468,INR,ONGC,India
2020-03-04,94.2,94.9,90.7,92.8,22998428,INR,ONGC,India
2020-03-05,93.35,94.4,92.0,92.6,16357817,INR,ONGC,India
2020-03-06,89.5,91.5,87.65,88.5,17823038,INR,ONGC,India
2020-03-09,82.15,82.5,74.0,74.55,86674328,INR,ONGC,India
2020-03-11,76.75,77.4,71.05,71.7,63570120,INR,ONGC,India
2020-03-12,66.6,68.4,62.0,62.5,76138488,INR,ONGC,India
2020-03-13,59.4,67.0,50.0,65.9,73052304,INR,ONGC,India
2020-03-16,63.5,65.2,60.0,60.15,49834392,INR,ONGC,India
2020-03-17,61.1,63.0,59.65,60.0,46722528,INR,ONGC,India
2020-03-18,61.6,86.8,57.5,68.15,178593488,INR,ONGC,India
2020-03-19,62.15,64.0,58.1,61.05,61261160,INR,ONGC,India
2020-03-20,63.05,74.4,62.75,72.35,128784784,INR,ONGC,India
2020-03-23,60.65,65.5,60.0,60.4,36059064,INR,ONGC,India
2020-03-24,63.5,64.7,60.1,62.5,38810912,INR,ONGC,India
2020-03-25,61.2,63.0,60.0,61.55,28639668,INR,ONGC,India
2020-03-26,61.85,65.6,59.65,64.75,46475000,INR,ONGC,India
2020-03-27,66.0,66.0,62.8,64.45,33298960,INR,ONGC,India
2020-03-30,61.05,65.65,60.1,63.35,32935524,INR,ONGC,India
2020-03-31,65.0,69.65,63.55,68.3,45892788,INR,ONGC,India
2020-04-01,67.0,67.25,65.1,65.75,21883464,INR,ONGC,India
2020-04-03,69.0,71.0,66.5,69.85,39761220,INR,ONGC,India
2020-04-07,71.2,74.4,70.2,72.9,30983248,INR,ONGC,India
2020-04-08,72.4,76.35,71.0,74.45,30556746,INR,ONGC,India
2020-04-09,76.0,77.65,76.0,77.3,19210692,INR,ONGC,India
2020-04-13,78.8,78.8,72.65,75.05,22316548,INR,ONGC,India
2020-04-15,75.1,76.45,73.5,74.35,22311692,INR,ONGC,India
2020-04-16,74.0,76.5,73.4,75.45,24473642,INR,ONGC,India
2020-04-17,77.8,77.8,75.15,76.3,14565447,INR,ONGC,India
2020-04-20,75.35,75.65,73.8,74.0,15699082,INR,ONGC,India
2020-04-21,69.7,70.75,67.2,69.35,27607652,INR,ONGC,India
2020-04-22,65.9,66.35,60.8,65.35,73847576,INR,ONGC,India
2020-04-23,67.5,69.05,66.55,67.35,38208748,INR,ONGC,India
2020-04-24,67.15,69.5,66.6,67.6,31588406,INR,ONGC,India
2020-04-27,68.0,69.5,67.65,68.45,16723890,INR,ONGC,India
2020-04-28,67.8,69.7,67.1,69.2,20423140,INR,ONGC,India
2020-04-29,69.4,70.95,68.7,70.5,18028576,INR,ONGC,India
2020-04-30,72.6,81.05,71.5,79.9,54295140,INR,ONGC,India
2020-05-04,76.0,77.85,74.05,76.55,28642244,INR,ONGC,India
2020-05-05,78.9,81.9,78.15,78.45,61865520,INR,ONGC,India
2020-05-06,81.35,81.35,77.45,79.25,38948340,INR,ONGC,India
2020-05-07,78.3,78.3,75.1,75.6,20806304,INR,ONGC,India
2020-05-08,76.4,77.2,74.75,76.0,18523906,INR,ONGC,India
2020-05-11,76.0,78.15,74.5,77.05,15701778,INR,ONGC,India
2020-05-12,76.95,77.35,74.5,76.3,14186808,INR,ONGC,India
2020-05-13,79.0,79.05,76.25,78.2,20494836,INR,ONGC,India
2020-05-14,77.0,77.35,75.2,76.15,13346163,INR,ONGC,India
2020-05-15,77.25,78.5,75.9,76.15,16836412,INR,ONGC,India
2020-05-18,76.95,76.95,72.4,72.9,13015452,INR,ONGC,India
2020-05-19,74.4,78.7,74.1,77.15,42316096,INR,ONGC,India
2020-05-20,77.2,78.5,76.3,78.0,12969876,INR,ONGC,India
2020-05-21,78.75,79.0,76.4,77.0,17999916,INR,ONGC,India
2020-05-22,76.95,76.95,75.4,76.15,12443833,INR,ONGC,India
2020-05-26,77.0,78.2,76.6,77.0,11840048,INR,ONGC,India
2020-05-27,77.2,78.2,75.9,77.95,11656180,INR,ONGC,India
2020-05-28,77.5,80.95,77.4,78.85,18646208,INR,ONGC,India
2020-05-29,78.05,83.75,77.4,83.2,40559736,INR,ONGC,India
2020-06-01,85.0,86.5,83.65,83.95,25048604,INR,ONGC,India
2020-06-02,84.45,84.9,82.6,84.3,15368224,INR,ONGC,India
2020-06-03,86.05,87.45,85.3,86.3,23937208,INR,ONGC,India
2020-06-04,85.0,86.05,84.0,84.9,15121039,INR,ONGC,India
2020-06-05,85.1,88.8,85.0,86.95,18203732,INR,ONGC,India
2020-06-08,90.0,93.1,89.2,90.95,32511412,INR,ONGC,India
2020-06-09,91.95,92.4,89.35,90.0,16702416,INR,ONGC,India
2020-06-10,90.6,91.5,87.7,88.25,17382524,INR,ONGC,India
2020-06-11,88.3,89.55,86.5,86.9,14276814,INR,ONGC,India
2020-06-12,81.55,84.2,81.55,83.9,20601082,INR,ONGC,India
2020-06-15,84.0,85.9,83.0,84.1,17275092,INR,ONGC,India
2020-06-16,85.5,85.75,82.35,83.9,13467650,INR,ONGC,India
2020-06-17,83.6,84.75,83.2,84.2,15440386,INR,ONGC,India
2020-06-18,83.0,83.95,81.8,83.6,18460702,INR,ONGC,India
2020-06-19,85.5,86.3,84.3,85.75,21920952,INR,ONGC,India
2020-06-22,86.1,86.2,84.1,84.85,19229488,INR,ONGC,India
2020-06-23,85.5,86.5,84.4,85.65,23442660,INR,ONGC,India
